212300404,00036,21230040400036,O,1983-12-21,02,2019,,2021-10-27T08:07:19,false,3,,8,,PL,DE LA MAIRIE,23000,ANZEME,,,23004,,,,,,,,,,,,,,,,,,,2008-01-01,A,ECOLE PRIMAIRE PUBLIQUE,,,,85.20Z,NAFRev2,N
212300404,00044,21230040400044,O,1997-01-01,NN,,,2009-06-27T03:19:43,false,3,MAIRIE,4,,PL,DE LA MAIRIE,23000,ANZEME,,,23004,,,,,,,,,,,,,,,,,,,2008-01-01,A,SERVICE D'ASSAINISSEMENT,,,,37.00Z,NAFRev2,N
212300404,00051,21230040400051,O,2004-12-25,NN,,,2008-01-04T18:28:30,false,2,,4,,PL,DE LA MAIRIE,23000,ANZEME,,,23004,,,,,,,,,,,,,,,,,,,2008-01-01,A,CAMPING MUNICIPAL DE PECHADOIRE,,,,55.30Z,NAFRev2,N
212300503,00019,21230050300019,O,1983-03-01,01,2019,,2021-10-27T08:07:19,true,4,,,,,,23700,ARFEUILLE-CHATAIN,,,23005,,,,,,,,,,,,,,,,,,,2008-01-01,A,MAIRIE,,,,84.11Z,NAFRev2,N
212300602,00019,21230060200019,O,1983-03-01,02,2019,,2021-10-27T08:07:19,true,4,,,,,LE BOURG,23210,ARRENES,,,23006,,,,,,,,,,,,,,,,,,,2008-01-01,A,MAIRIE,,,,84.11Z,NAFRev2,O
212300602,00035,21230060200035,O,1983-12-21,NN,,,,false,4,,,,,LE BOURG,23210,ARRENES,,,23006,,,,,,,,,,,,,,,,,,,2000-09-01,F,ECOLE PRIMAIRE PUBLIQUE,,,,80.1Z,NAF1993,N
212300602,00043,21230060200043,O,1998-03-16,NN,,,2008-01-04T18:28:30,false,3,MAIRIE,,,,LE BOURG,23210,ARRENES,,,23006,,,,,,,,,,,,,,,,,,,2008-01-01,A,SERVICE ASSAINISSEMENT,,,,36.00Z,NAFRev2,N
212300701,00019,21230070100019,O,1983-03-01,03,2019,,2021-10-27T08:07:19,true,4,,,,,LE BOURG,23480,ARS,,,23007,,,,,,,,,,,,,,,,,,,2008-01-01,A,MAIRIE,,,,84.11Z,NAFRev2,O
212300701,00035,21230070100035,O,1983-12-21,02,2019,,2021-10-27T08:07:19,false,3,,,,,LE BOURG,23480,ARS,,,23007,,,,,,,,,,,,,,,,,,,2008-01-01,A,ECOLE PRIMAIRE PUBLIQUE,,,,85.20Z,NAFRev2,N
212300800,00019,21230080000019,O,1983-03-01,12,2019,,2021-10-27T08:07:19,true,4,,50,,RUE,GRANDE,23200,AUBUSSON,,,23008,,,,,,,,,,,,,,,,,,,2008-01-01,A,MAIRIE,,,,84.11Z,NAFRev2,O
212300800,00092,21230080000092,O,1983-12-21,NN,,,2017-05-04T01:23:36,false,3,,,,RES,DE CHABASSIERE,23200,AUBUSSON,,,23008,,,,,,,,,,,,,,,,,,,2008-01-01,A,ECOLE MATERNELLE PUBLIQUE,,,,85.10Z,NAFRev2,N
212300800,00100,21230080000100,O,1983-12-21,11,2019,,2021-10-27T08:07:19,false,3,,,,RES,DE CHABASSIERE,23200,AUBUSSON,,,23008,,,,,,,,,,,,,,,,,,,2008-01-01,A,ECOLE PRIMAIRE PUBLIQUE,,,,85.20Z,NAFRev2,N
212300800,00118,21230080000118,O,1983-12-21,NN,,,2011-04-23T04:12:49,false,4,,20,,RUE,CHATEAUFAVIER,23200,AUBUSSON,,,23008,,,,,,,,,,,,,,,,,,,2009-08-30,F,ECOLE PRIMAIRE PUBLIQUE JEAN MACE,,,,85.20Z,NAFRev2,N
212300800,00126,21230080000126,O,1983-12-21,NN,,,2010-09-10T11:17:22,false,4,,29,,RUE,JULES SANDEAU,23200,AUBUSSON,,,23008,,,,,,,,,,,,,,,,,,,2008-01-01,F,ECOLE PRIMAIRE PUBLIQUE,,,,85.20Z,NAFRev2,N
212300800,00134,21230080000134,O,1983-12-21,NN,,,2016-04-26T01:20:55,false,3,,29,,RUE,JULES SANDEAU,23200,AUBUSSON,,,23008,,,,,,,,,,,,,,,,,,,2008-01-01,A,ECOLE MATERNELLE PUBLIQUE,,,,85.10Z,NAFRev2,N
