213502537,00052,21350253700052,O,1996-12-25,NN,,,2019-11-14T14:00:34,false,2,MAIRIE,,,PL,MAIRIE,35140,SAINT-AUBIN-DU-CORMIER,,,35253,,,,,,,,,,,,,,,,,,,2006-01-01,F,SERVICES EAU ET ASSAINISSEMENT,,,,41.0Z,NAFRev1,N
213502537,00060,21350253700060,O,1998-01-01,NN,,,2019-11-14T14:00:34,false,4,MAIRIE,,,PL,DE LA MAIRIE,35140,SAINT-AUBIN-DU-CORMIER,,,35253,,,,,,,,,,,,,,,,,,,2008-01-01,F,ZAC DU RIVAGE,,,,42.99Z,NAFRev2,N
213502537,00078,21350253700078,O,2000-11-23,11,2019,,2021-10-27T08:08:03,false,3,,1,,CHE,DES HARAS,35140,SAINT-AUBIN-DU-CORMIER,,,35253,,,,,,,,,,,,,,,,,,,2008-01-01,A,ECOLE PRIMAIRE PUBLIQUE ALIX DE BRETAGNE,,,,85.20Z,NAFRev2,N
213502537,00086,21350253700086,O,1997-01-01,NN,,,2019-11-14T14:00:34,false,4,MAIRIE,,,PL,DE LA MAIRIE,35140,SAINT-AUBIN-DU-CORMIER,,,35253,,,,,,,,,,,,,,,,,,,2008-12-31,F,LOTISSEMENT ILLET,,,,42.99Z,NAFRev2,N
213502537,00094,21350253700094,O,2003-12-25,NN,,,2019-11-14T14:00:34,false,2,,,,RUE,DE L'ETANG,35140,SAINT-AUBIN-DU-CORMIER,,,35253,,,,,,,,,,,,,,,,,,,2008-01-01,A,CAMPING MUNICIPAL,,,,55.30Z,NAFRev2,N
213502537,00102,21350253700102,O,2004-08-05,01,2019,,2021-10-27T08:08:03,false,4,MAIRIE,,,PL,DE LA MAIRIE,35140,SAINT-AUBIN-DU-CORMIER,,,35253,,,,,,,,,,,,,,,,,,,2008-01-01,A,CENTRE CULTUREL BEL AIR,,,,90.04Z,NAFRev2,O
213502545,00014,21350254500014,O,1983-03-01,NN,,,2019-06-24T13:10:22,true,4,,6,,RUE,DE LA MAIRIE,35410,CHATEAUGIRON,,,35069,,,,,,,,,,,,,,,,,,,2017-01-01,F,MAIRIE,,,,84.11Z,NAFRev2,O
213502545,00022,21350254500022,O,1996-12-06,NN,,,2017-01-03T11:15:46,false,4,MAIRIE,,,PL,DE LA MAIRIE,35410,CHATEAUGIRON,,,35069,,,,,,,,,,,,,,,,,,,2001-08-28,F,COMMERCE COMMUNAL,,,,70.2C,NAF1993,N
213502545,00030,21350254500030,O,1996-12-25,NN,,,2017-01-03T11:07:56,false,3,MAIRIE,4,,RUE,DE LA MAIRIE,35410,CHATEAUGIRON,,,35069,,,,,,,,,,,,,,,,,,,2008-01-01,F,LOTISSEMENT COMMUNAL,,,,42.99Z,NAFRev2,N
213502545,00048,21350254500048,O,1996-12-25,NN,,,2017-02-12T14:20:58,false,3,MAIRIE,6,,RUE,DE LA MAIRIE,35410,CHATEAUGIRON,,,35069,,,,,,,,,,,,,,,,,,,2017-01-01,F,SERVICE D'ASSAINISSEMENT,,,,37.00Z,NAFRev2,N
