295902993,00019,29590299300019,O,,NN,,,,true,1,,,,,GPL GDE PCE CHARLES DE GAULLE,59270,BAILLEUL,,,59043,,,,,,,,,,,,,,,,,,,1996-12-31,F,,,,,70.1C,NAF1993,N
295903009,00013,29590300900013,O,1995-12-25,NN,,,2010-04-29T14:37:21,true,4,MAIRIE,,,PL,DU GENERAL DE GAULLE,59190,HAZEBROUCK,,,59295,,,,,,,,,,,,,,,,,,,2008-12-31,F,,,,,42.99Z,NAFRev2,N
295903017,00016,29590301700016,O,1995-12-25,NN,,,2008-01-04T19:07:17,true,3,MAIRIE,89,,RUE,ROGER BOUVRY,59113,SECLIN,,,59560,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,42.99Z,NAFRev2,N
295903025,00019,29590302500019,O,1995-12-25,NN,,,2008-01-04T19:07:17,true,2,MAIRIE,117,,RUE,DE TAISNIERES,59440,MARBAIX,,,59374,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,42.99Z,NAFRev2,N
295903033,00013,29590303300013,O,1995-12-25,NN,,,2019-11-14T14:00:47,true,5,MAIRIE,,,RUE,HENRI BARBUSSE,59128,FLERS-EN-ESCREBIEUX,,,59234,,,,,,,,,,,,,,,,,,,2016-12-25,A,,,,,42.99Z,NAFRev2,O
295903041,00016,29590304100016,O,1995-12-25,NN,,,2012-05-05T00:40:14,true,4,MAIRIE,,,RUE,SUZANNE LANNOY,59870,RIEULAY,,,59501,,,,,,,,,,,,,,,,,,,2010-07-05,F,,,,,42.99Z,NAFRev2,N
295903058,00010,29590305800010,O,1995-12-25,NN,,,2021-02-15T16:39:19,true,4,MAIRIE,123,,RUE,RAYMOND VERVA,59820,SAINT GEORGES SUR L'AA,,,59532,,,,,,,,,,,,,,,,,,,2015-07-02,F,,,,,42.99Z,NAFRev2,N
295903066,00013,29590306600013,O,,NN,,,,true,1,,,,,GRAND PLACE,59122,LES MOERES,,,59404,,,,,,,,,,,,,,,,,,,1997-12-31,F,,,,,70.1C,NAF1993,N
295903074,00017,29590307400017,O,1995-12-25,NN,,,2019-11-14T14:00:47,true,2,MAIRIE,,,AV,DE LA REPUBLIQUE,59111,LIEU-SAINT-AMAND,,,59348,,,,,,,,,,,,,,,,,,,2004-07-20,F,AFR,,,,70.1C,NAFRev1,N
295903082,00010,29590308200010,O,1995-12-25,NN,,,2017-08-11T13:47:09,true,3,MAIRIE,,,RUE,PAUL BERT,59124,ESCAUDAIN,,,59205,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,42.99Z,NAFRev2,N
295903090,00013,29590309000013,O,1995-12-25,NN,,,2019-11-14T14:00:47,true,3,MAIRIE,,,,GRAND RUE,59282,NOYELLES-SUR-SELLE,,,59440,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,42.99Z,NAFRev2,N
295903108,00013,29590310800013,O,1995-12-25,NN,,,2019-11-14T14:00:47,false,2,MAIRIE,,,RUE,GEORGES POMPIDOU,59279,LOON-PLAGE,,,59359,,,,,,,,,,,,,,,,,,,2000-01-01,F,AFR,,,,70.1C,NAF1993,N
295903108,00021,29590310800021,O,2000-01-01,,,,2019-11-14T14:00:47,true,2,MAIRIE,,,PL,DE LA REPUBLIQUE,59279,LOON-PLAGE,,,59359,,,,,,,,,,,,,,,,,,,2004-09-16,F,,,,,70.1C,NAFRev1,N
295903116,00016,29590311600016,O,1996-09-24,NN,,,2018-09-29T12:08:58,true,4,MAIRIE,,,CHS,BRUNEHAUT,59161,NAVES,,,59422,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,42.99Z,NAFRev2,N
295903124,00010,29590312400010,O,1996-05-20,NN,,,2017-08-10T14:48:54,true,3,MAIRIE,25,,RUE,ARISTIDE BRIAND,59330,BEAUFORT,,,59058,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,42.99Z,NAFRev2,N
295903132,00013,29590313200013,O,1991-12-30,NN,,,2017-07-07T11:19:18,true,5,MAIRIE,,,RUE,DE MAUBEUGE,59138,BACHANT,,,59041,,,,,,,,,,,,,,,,,,,2016-12-25,F,,,,,42.99Z,NAFRev2,N
295903140,00016,29590314000016,O,1997-07-10,NN,,,2017-08-11T16:35:13,true,5,MAIRIE,12,,RUE,JEAN JAURES,59171,HORNAING,,,59314,,,,,,,,,,,,,,,,,,,2016-06-03,F,,,,,42.99Z,NAFRev2,N
