219105400,00036,21910540000036,O,1983-12-21,03,2019,,2021-10-27T08:11:20,false,3,,10,,RUE,DU VIEUX CHATRE,91530,SAINT-CHERON,,,91540,,,,,,,,,,,,,,,,,,,2008-01-01,A,ECOLE MATERNELLE PUBLIQUE PONT DE BOIS,,,,85.10Z,NAFRev2,N
219105400,00044,21910540000044,O,1983-12-21,03,2019,,2021-10-27T08:11:20,false,3,,,,RUE,BOUILLON LAGRANGE,91530,SAINT-CHERON,,,91540,,,,,,,,,,,,,,,,,,,2008-01-01,A,ECOLE MATERNELLE PUBLIQUE LE CENTRE,,,,85.10Z,NAFRev2,N
219105400,00051,21910540000051,O,1983-12-21,11,2019,,2021-10-27T08:11:20,false,3,,,,SEN,DES VIGNES,91530,SAINT-CHERON,,,91540,,,,,,,,,,,,,,,,,,,2008-01-01,A,ECOLE ELEMENTAIRE PUBLIQUE LE CENTRE,,,,85.20Z,NAFRev2,N
219105400,00069,21910540000069,O,1999-12-25,NN,,,2019-11-14T14:01:05,false,2,MAIRIE,,,,PARC DES DEUX TOURTELLES,91530,SAINT-CHERON,,,91540,,,,,,,,,,,,,,,,,,,2008-01-01,A,SERVICE DES EAUX,,,,36.00Z,NAFRev2,N
219105400,00077,21910540000077,O,1999-12-25,NN,,,2019-11-14T14:01:05,false,2,MAIRIE,,,,PARC DES DEUX TOURELLES,91530,SAINT-CHERON,,,91540,,,,,,,,,,,,,,,,,,,2008-01-01,A,SERVICE D'ASSAINISSEMENT,,,,37.00Z,NAFRev2,N
219105442,00012,21910544200012,O,1983-03-01,02,2019,,2021-10-27T08:11:20,true,4,,,,PL,DE LA MAIRIE,91690,SAINT-CYR-LA-RIVIERE,,,91544,,,,,,,,,,,,,,,,,,,2008-01-01,A,MAIRIE,,,,84.11Z,NAFRev2,O
219105442,00020,21910544200020,O,1983-12-21,02,2019,,2021-10-27T08:11:20,false,3,,,,RUE,DU CHATEAU,91690,SAINT-CYR-LA-RIVIERE,,,91544,,,,,,,,,,,,,,,,,,,2008-01-01,A,ECOLE ELEMENTAIRE PUBLIQUE,,,,85.20Z,NAFRev2,N
219105442,00038,21910544200038,O,1987-06-29,NN,,,2019-11-14T14:01:05,false,4,,3,,RUE,DE VOISINS,91690,SAINT-CYR-LA-RIVIERE,,,91544,,,,,,,,,,,,,,,,,,,1996-12-25,F,ECOLE MATERNELLE PUBLIQUE L ECLIMONT,,,,80.1Z,NAF1993,N
219105467,00019,21910546700019,O,1983-03-01,11,2019,,2021-10-27T08:11:20,true,4,,1,,RTE,DE PARIS,91410,SAINT-CYR-SOUS-DOURDAN,,,91546,,,,,,,,,,,,,,,,,,,2008-01-01,A,MAIRIE,,,,84.11Z,NAFRev2,O
219105467,00027,21910546700027,O,1983-12-21,03,2019,,2021-10-27T08:11:20,false,3,,1,,RUE,DE PARIS,91410,SAINT-CYR-SOUS-DOURDAN,,,91546,,,,,,,,,,,,,,,,,,,2008-01-01,A,ECOLE ELEMENTAIRE PUB CECILE AUBRY,,,,85.20Z,NAFRev2,N
