212002513,00068,21200251300068,O,1983-12-21,NN,,,2019-11-14T14:00:30,false,3,,,,,HAMEAU DE MIGLIACCIARO,20243,PRUNELLI-DI-FIUMORBO,,,2B251,,,,,,,,,,,,,,,,,,,2001-08-31,F,ECOLE PRIMAIRE PUBLIQUE,,,,80.1Z,NAF1993,N
212002513,00084,21200251300084,O,2000-12-25,01,2019,,2021-10-27T08:07:11,false,2,MAIRIE,,,,LE VILLAGE,20243,PRUNELLI-DI-FIUMORBO,,,2B251,,,,,,,,,,,,,,,,,,,2008-01-01,A,EAU ET ASSAINISSEMENT,,,,36.00Z,NAFRev2,N
212002513,00092,21200251300092,O,2001-09-01,12,2019,,2021-10-27T08:07:11,false,3,,,,RTE,DE MONTAGNE,20243,PRUNELLI-DI-FIUMORBO,,,2B251,,,,,,,,,,,,,,,,,,,2008-01-01,A,ECOLE ELEMENTAIRE PUBLIQUE PRUNELLI,,,,85.20Z,NAFRev2,N
212002513,00100,21200251300100,O,2008-12-25,11,2019,,2021-10-27T08:07:11,false,1,,,,,CAPANELLA,20243,PRUNELLI-DI-FIUMORBO,,,2B251,,,,,,,,,,,,,,,,,,,2008-12-25,A,ECOLE MATERNELLE PUBLIQUE,,,,85.10Z,NAFRev2,N
212002513,00126,21200251300126,O,2012-03-05,02,2019,,2021-10-27T08:07:11,false,1,,,,RTE,DE MONTAGNE,20243,PRUNELLI-DI-FIUMORBO,,,2B251,,,,,,,,,,,,,,,,,,,2012-03-05,A,ALSH,,,,93.29Z,NAFRev2,N
212002521,00012,21200252100012,O,1983-03-01,03,2019,,2021-10-27T08:07:11,true,4,HOTEL DE VILLE,,,,,20213,PRUNO,,,2B252,,,,,,,,,,,,,,,,,,,2008-01-01,A,MAIRIE,,,,84.11Z,NAFRev2,O
212002521,00038,21200252100038,O,2000-12-25,NN,,,2008-01-04T18:27:46,false,2,,,,,HOTEL DE VILLE,20213,PRUNO,,,2B252,,,,,,,,,,,,,,,,,,,2008-01-01,A,EAU ET ASSAINISSEMENT,,,,36.00Z,NAFRev2,N
212002521,00046,21200252100046,O,2004-05-27,01,2019,,2021-10-27T08:07:11,false,3,,,,HAM,CHAMPLAN,20213,PRUNO,,,2B252,,,,,,,,,,,,,,,,,,,2008-01-01,A,ECOLE PRIMAIRE CAMPO PIANO,,,,85.20Z,NAFRev2,N
212002539,00014,21200253900014,O,1983-03-01,02,2019,,2021-10-27T08:07:11,true,4,HOTEL DE VILLE,,,,,20142,QUASQUARA,,,2A253,,,,,,,,,,,,,,,,,,,2008-01-01,A,MAIRIE,,,,84.11Z,NAFRev2,O
212002539,00022,21200253900022,O,1997-01-01,NN,,,2008-01-04T18:27:46,false,3,MAIRIE,,,,,20142,QUASQUARA,,,2A253,,,,,,,,,,,,,,,,,,,2008-01-01,A,SERVICE DE L'EAU,,,,36.00Z,NAFRev2,N
212002547,00017,21200254700017,O,1983-03-01,01,2019,,2021-10-27T08:07:11,true,4,HOTEL DE VILLE,,,,,20122,QUENZA,,,2A254,,,,,,,,,,,,,,,,,,,2008-01-01,A,MAIRIE,,,,84.11Z,NAFRev2,O
212002547,00025,21200254700025,O,1983-12-21,01,2019,,2021-10-27T08:07:11,false,3,,,,,,20122,QUENZA,,,2A254,,,,,,,,,,,,,,,,,,,2008-01-01,A,ECOLE PRIMAIRE PUBLIQUE,,,,85.20Z,NAFRev2,N
212002547,00033,21200254700033,O,1996-01-01,NN,,,2008-01-04T18:27:46,false,3,MAIRIE,,,,,20122,QUENZA,,,2A254,,,,,,,,,,,,,,,,,,,2008-01-01,A,SERVICE EAU ET ASSAINISSEMENT,,,,36.00Z,NAFRev2,N
212002554,00013,21200255400013,O,1983-03-01,01,2019,,2021-10-27T08:07:11,true,3,,,,,,20237,QUERCITELLO,,,2B255,,,,,,,,,,,,,,,,,,,2008-01-01,A,MAIRIE,,,,84.11Z,NAFRev2,O
212002554,00021,21200255400021,O,2000-12-25,NN,,,2008-01-04T18:27:46,false,2,,,,,HOTEL DE VILLE,20237,QUERCITELLO,,,2B255,,,,,,,,,,,,,,,,,,,2008-01-01,A,SERVICE EAU ASSAINISSEMENT QUERCITELLO,,,,36.00Z,NAFRev2,N
212002562,00016,21200256200016,O,1983-03-01,01,2019,,2021-10-27T08:07:11,true,3,,,,,,20229,RAPAGGIO,,,2B256,,,,,,,,,,,,,,,,,,,2008-01-01,A,MAIRIE,,,,84.11Z,NAFRev2,N
212002562,00024,21200256200024,O,2000-12-25,NN,,,2008-01-04T18:27:46,false,2,,,,,HOTEL  DE VILLE,20229,RAPAGGIO,,,2B256,,,,,,,,,,,,,,,,,,,2008-01-01,A,EAU ET ASSAINISSEMENT,,,,36.00Z,NAFRev2,N
