200071892,00067,20007189200067,O,2017-12-22,41,2019,,2021-10-27T08:06:06,true,1,,58,,BD,VICTOR HUGO,02100,SAINT-QUENTIN,,,02691,,,,,,,,,,,,,,,,,,,2017-12-22,A,,,,,84.11Z,NAFRev2,O
200071900,00019,20007190000019,O,2017-01-01,22,2019,,2021-10-27T08:06:06,true,1,ZONE INDUSTRIELLE DU PATIS -,35,,IMP,LUTHIER,85440,TALMONT-SAINT-HILAIRE,,,85288,85440,,,,,,,,,,,,,,,,,,2017-01-01,A,,,,,84.11Z,NAFRev2,O
200071900,00035,20007190000035,O,2017-01-01,,,,2021-02-23T10:30:38,false,1,,35,,IMP,LUTHIER,85440,TALMONT-SAINT-HILAIRE,,,85288,,,,,,,,,,,,,,,,,,,2017-01-01,A,DECHETS MENAGERS ET ASSIMILES,,,,38.11Z,NAFRev2,N
200071900,00225,20007190000225,O,2018-01-01,,,,2019-11-14T14:01:02,false,1,,,,,,85440,TALMONT-SAINT-HILAIRE,,,85288,,,,,,,,,,,,,,,,,,,2018-01-01,A,PORT DE BOURGENAY,,,,93.29Z,NAFRev2,O
200071900,00233,20007190000233,O,2018-01-01,,,,2019-11-14T14:01:02,false,2,,1,,IMP,DE LA CONCHETTE,85520,JARD-SUR-MER,,,85114,,,,,,,,,,,,,,,,,,,2018-12-01,A,PORT DE JARD SUR MER,,,,93.29Z,NAFRev2,O
200071900,00290,20007190000290,O,2020-01-01,,,,2021-07-20T08:20:07,false,2,ZONE INDUSTRIELLE DU PATIS -,35,,IMP,LUTHIER,85440,TALMONT-SAINT-HILAIRE,,,85288,,,,,,,,,,,,,,,,,,,2020-12-31,F,ASSAINISSEMENT COLLECTIF REGIE,,,,37.00Z,NAFRev2,N
200071918,00011,20007191800011,O,2017-01-01,21,2019,,2021-10-27T08:06:06,true,1,,2,,RUE,JULES VERNE,85250,SAINT-FULGENT,,,85215,,,,,,,,,,,,,,,,,,,2017-01-01,A,,,,,84.11Z,NAFRev2,O
200071918,00029,20007191800029,O,2017-01-01,,,,2021-02-23T10:30:38,false,3,,2,,RUE,JULES VERNE,85250,SAINT-FULGENT,,,85215,,,,,,,,,,,,,,,,,,,2019-03-01,A,ASSAINISSEMENT REGIE,,,,37.00Z,NAFRev2,O
200071918,00052,20007191800052,O,2017-01-01,,,,2018-11-15T16:23:44,false,2,,,,,,85140,CHAUCHE,,,85064,,,,,,,,,,,,,,,,,,,2018-11-12,A,CAMPING,,,,55.30Z,NAFRev2,N
200071918,00177,20007191800177,O,2017-01-01,01,2019,,2021-10-27T08:06:06,false,2,ZONE DES VIGNES,,,RPT,DE BRETAGNE,85250,SAINT-FULGENT,,,85215,,,,,,,,,,,,,,,,,,,2018-02-04,A,CENTRE AQUATIQUE AQUA BULLES,,,,93.11Z,NAFRev2,O
