300837226,00012,30083722600012,O,1900-01-01,NN,,,2017-11-29T14:24:23,false,3,,42,,RTE,DU PERELLO,56270,PLOEMEUR,,,56162,,,,,,,,,,,,,,,,,,,2007-03-31,F,,,,,85.1C,NAFRev1,N
300837226,00020,30083722600020,O,2017-10-23,,,,2017-11-29T14:24:23,true,1,,15,,RUE,DE KERDONNERCH,56550,BELZ,,,56013,,,,,,,,,,,,,,,,,,,2017-10-23,A,,,,,68.20A,NAFRev2,N
300837283,00021,30083728300021,O,1900-01-01,NN,,,2010-11-16T00:10:48,false,4,,30,,AV,JEAN JAURES,59100,ROUBAIX,,,59512,,,,,,,,,,,,,,,,,,,2008-01-01,F,,,,,86.90E,NAFRev2,N
300837283,00039,30083728300039,O,1993-04-13,,,,2008-06-04T15:28:15,false,4,,8,,,GRAND PLACE,59670,CASSEL,,,59135,,,,,,,,,,,,,,,,,,,2006-12-31,F,,,,,85.1G,NAFRev1,N
300837283,00047,30083728300047,O,1986-09-01,,,,2019-02-20T11:42:47,true,4,,9,,RUE,A FIENS,59800,LILLE,,,59350,,,,,,,,,,,,,,,,,,,2007-01-01,A,,,,,85.59B,NAFRev2,N
300837309,00016,30083730900016,O,,NN,,,,true,1,,202,,BD,DE FOURMIES,59100,ROUBAIX,,,59512,,,,,,,,,,,,,,,,,,,1992-12-31,F,,,,,52.4C,NAF1993,N
300837358,00013,30083735800013,O,,NN,,,,true,1,,43,,,GRANDE RUE,59100,ROUBAIX,,,59512,,,,,,,,,,,,,,,,,,,1983-09-30,F,,,,,64.12,NAP,N
300837374,00036,30083737400036,O,1988-04-21,NN,,,2014-08-07T03:09:33,true,6,,33,,RUE,FRANKLIN ROOSEVELT,59420,MOUVAUX,,,59421,,,,,,,,,,,,,,,,,,,2014-07-31,F,,,,,86.90E,NAFRev2,N
300837390,00024,30083739000024,O,1985-04-01,NN,,,,true,1,,3,,RUE,DE LA MARLIERE,59200,TOURCOING,,,59599,,,,,,,,,,,,,,,,,,,2002-03-31,F,,,,,52.3A,NAF1993,O
300837424,00021,30083742400021,O,,,,,,true,1,,,,,LOCMIQUEL,56870,BADEN,,,56008,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,77.06,NAP,N
