262309651,00020,26230965100020,O,1996-01-03,12,2019,,2021-10-27T08:12:43,true,4,,9,,AV,PIERRE MENDES FRANCE,23000,GUERET,,BP 255,23096,23005,GUERET CEDEX,,,,,,,,,,,,,,,,,2021-02-18,F,,,,,87.90A,NAFRev2,O
262309701,00015,26230970100015,O,1983-03-01,NN,,,2019-11-14T14:00:24,true,4,MAIRIE,,,,LE BOURG,23130,ISSOUDUN-LETRIEIX,,,23097,,,,,,,,,,,,,,,,,,,2017-12-31,F,CCAS,,,,88.99B,NAFRev2,N
262309719,00017,26230971900017,O,1983-03-01,NN,,,2019-11-14T14:00:24,true,3,MAIRIE,,,,LE BOURG,23130,ISSOUDUN-LETRIEIX,,,23097,,,,,,,,,,,,,,,,,,,2008-01-01,A,CDE,,,,88.99B,NAFRev2,N
262309800,00015,26230980000015,O,1983-03-01,NN,,,2020-05-29T10:39:15,true,4,MAIRIE,,,,LE BOURG,23270,JALESCHES,,,23098,,,,,,,,,,,,,,,,,,,2019-12-31,F,CCAS,,,,88.99B,NAFRev2,N
262309909,00014,26230990900014,O,1983-03-01,NN,,,2016-11-20T14:05:29,true,4,MAIRIE,,,,LE BOURG,23250,JANAILLAT,,,23099,,,,,,,,,,,,,,,,,,,2016-01-01,F,CCAS,,,,88.99B,NAFRev2,N
262309917,00017,26230991700017,O,1983-03-01,NN,,,2010-06-26T03:06:45,true,3,MAIRIE,,,,LE BOURG,23250,JANAILLAT,,,23099,,,,,,,,,,,,,,,,,,,2008-01-01,A,CDE,,,,88.99B,NAFRev2,N
262310006,00016,26231000600016,O,1983-03-01,NN,,,2008-01-04T18:57:00,true,3,MAIRIE,42,,,GRANDE RUE,23140,JARNAGES,,,23100,,,,,,,,,,,,,,,,,,,2008-01-01,A,CCAS,,,,88.99B,NAFRev2,N
262310014,00010,26231001400010,O,1983-03-01,NN,,,2010-06-26T03:06:45,true,3,MAIRIE,42,,,GRANDE RUE,23140,JARNAGES,,,23100,,,,,,,,,,,,,,,,,,,2008-01-01,A,CDE,,,,88.99B,NAFRev2,N
262310105,00016,26231010500016,O,1983-03-01,NN,,,2018-08-08T15:35:56,true,4,MAIRIE,7,,RUE,DE LA MAIRIE,23220,JOUILLAT,,,23101,,,,,,,,,,,,,,,,,,,2016-12-31,F,CCAS,,,,88.99B,NAFRev2,N
262310113,00010,26231011300010,O,1983-03-01,NN,,,,true,4,,,,,HOTEL DE VILLE,23220,JOUILLAT,,,23101,,,,,,,,,,,,,,,,,,,1994-12-25,F,CDE,,,,85.3K,NAF1993,N
262310204,00017,26231020400017,O,1983-03-01,NN,,,2010-06-26T03:06:45,true,3,MAIRIE,16,,RTE,DE BOUSSAC,23270,LADAPEYRE,,,23102,,,,,,,,,,,,,,,,,,,2008-01-01,A,CCAS,,,,88.99B,NAFRev2,N
262310212,00010,26231021200010,O,1983-03-01,NN,,,,true,4,,,,,HOTEL DE VILLE,23270,LADAPEYRE,,,23102,,,,,,,,,,,,,,,,,,,1996-03-14,F,CDE,,,,85.3K,NAF1993,N
262310303,00017,26231030300017,O,1983-03-01,NN,,,2018-09-25T11:25:36,true,4,MAIRIE,,,,,23800,LAFAT,,,23103,,,,,,,,,,,,,,,,,,,2016-12-31,F,CCAS,,,,88.99B,NAFRev2,N
262310311,00010,26231031100010,O,1983-03-01,NN,,,2010-06-26T03:06:45,true,3,MAIRIE,,,,,23800,LAFAT,,,23103,,,,,,,,,,,,,,,,,,,2008-01-01,A,CDE,,,,88.99B,NAFRev2,N
262310402,00017,26231040200017,O,1983-03-01,NN,,,2021-01-25T09:56:10,true,4,MAIRIE,,,,,23600,LAVAUFRANCHE,,,23104,,,,,,,,,,,,,,,,,,,2020-12-31,F,CCAS,,,,88.99B,NAFRev2,N
262310410,00010,26231041000010,O,1983-03-01,NN,,,2010-06-26T03:06:45,true,3,MAIRIE,,,,,23600,LAVAUFRANCHE,,,23104,,,,,,,,,,,,,,,,,,,2008-01-01,A,CDE,,,,88.99B,NAFRev2,N
262310501,00016,26231050100016,O,1983-03-01,NN,,,2019-11-14T14:00:24,true,4,MAIRIE,35,,RUE,DU CENTRE,23150,LAVAVEIX-LES-MINES,,,23105,,,,,,,,,,,,,,,,,,,2018-01-01,F,CCAS,,,,88.99B,NAFRev2,N
262310519,00018,26231051900018,O,1983-03-01,NN,,,2019-11-14T14:00:24,true,3,MAIRIE,35,,RUE,DU CENTRE,23150,LAVAVEIX-LES-MINES,,,23105,,,,,,,,,,,,,,,,,,,2008-01-01,A,CDE,,,,88.99B,NAFRev2,N
262310600,00016,26231060000016,O,1983-03-01,NN,,,2016-11-20T14:05:29,true,4,MAIRIE,5,,PL,DE LA MAIRIE,23170,LEPAUD,,,23106,,,,,,,,,,,,,,,,,,,2016-01-01,F,CCAS,,,,88.99B,NAFRev2,N
262310618,00018,26231061800018,O,1983-03-01,NN,,,2010-06-26T03:06:45,true,3,MAIRIE,5,,PL,DE LA MAIRIE,23170,LEPAUD,,,23106,,,,,,,,,,,,,,,,,,,2008-01-01,A,CDE,,,,88.99B,NAFRev2,N
262310709,00015,26231070900015,O,1983-03-01,NN,,,2018-09-25T11:23:09,true,4,MAIRIE,,,,LE BOURG,23150,LEPINAS,,,23107,,,,,,,,,,,,,,,,,,,2017-12-31,F,CCAS,,,,88.99B,NAFRev2,N
262310717,00018,26231071700018,O,1983-03-01,NN,,,2010-06-26T03:06:46,true,3,MAIRIE,,,,LE BOURG,23150,LEPINAS,,,23107,,,,,,,,,,,,,,,,,,,2008-01-01,A,CDE,,,,88.99B,NAFRev2,N
262310808,00015,26231080800015,O,1983-03-01,NN,,,2017-08-06T14:09:20,true,4,MAIRIE,,,,LE BOURG,23600,LEYRAT,,,23108,,,,,,,,,,,,,,,,,,,2017-08-01,F,CCAS,,,,88.99B,NAFRev2,N
262310816,00018,26231081600018,O,1983-03-01,NN,,,2010-06-26T03:06:46,true,3,MAIRIE,,,,LE BOURG,23600,LEYRAT,,,23108,,,,,,,,,,,,,,,,,,,2008-01-01,A,CDE,,,,88.99B,NAFRev2,N
262310907,00015,26231090700015,O,1983-03-01,NN,,,2019-01-31T20:01:51,true,4,MAIRIE,7,,RUE,DE L'ABBE GUY,23220,LINARD-MALVAL,,,23109,,,,,,,,,,,,,,,,,,,2016-12-31,F,CCAS,,,,88.99B,NAFRev2,N
262310915,00018,26231091500018,O,1983-03-01,NN,,,2019-01-31T20:01:51,true,4,MAIRIE,7,,RUE,DE L'ABBE GUY,23220,LINARD-MALVAL,,,23109,,,,,,,,,,,,,,,,,,,2019-01-01,F,CDE,,,,88.99B,NAFRev2,N
262311004,00010,26231100400010,O,1983-03-01,NN,,,2019-11-14T14:00:24,true,4,MAIRIE,,,,,23700,LIOUX-LES-MONGES,,,23110,,,,,,,,,,,,,,,,,,,2016-01-01,F,CCAS,,,,88.99B,NAFRev2,N
262311103,00010,26231110300010,O,1983-03-01,NN,,,2018-09-25T09:44:14,true,4,MAIRIE,,,,LE BOURG,23240,LIZIERES,,,23111,,,,,,,,,,,,,,,,,,,2016-01-01,F,CCAS,,,,88.99B,NAFRev2,N
262311111,00013,26231111100013,O,,NN,,,,true,1,,,,,HOTEL DE VILLE,23240,LIZIERES,,,23111,,,,,,,,,,,,,,,,,,,1994-09-29,F,,,,,85.3K,NAF1993,N
262311202,00010,26231120200010,O,1983-03-01,NN,,,2019-11-14T14:00:24,true,4,MAIRIE,,,PL,DE L'EGLISE,23360,LOURDOUEIX-SAINT-PIERRE,,,23112,,,,,,,,,,,,,,,,,,,2016-01-01,F,CCAS,,,,88.99B,NAFRev2,N
262311210,00013,26231121000013,O,1983-03-01,NN,,,2019-11-14T14:00:24,true,3,MAIRIE,,,PL,DE L'EGLISE,23360,LOURDOUEIX-SAINT-PIERRE,,,23112,,,,,,,,,,,,,,,,,,,2006-12-25,F,CDE,,,,85.3K,NAFRev1,N
262311301,00010,26231130100010,O,1983-03-01,NN,,,2019-06-18T09:14:50,true,4,MAIRIE,3,,PL,DE LA REPUBLIQUE,23190,LUPERSAT,,,23113,,,,,,,,,,,,,,,,,,,2018-12-31,F,CCAS,,,,88.99B,NAFRev2,N
262311319,00012,26231131900012,O,1983-03-01,NN,,,,true,1,,3,,PL,DE LA REPUBLIQUE,23190,LUPERSAT,,,23113,,,,,,,,,,,,,,,,,,,2002-12-25,F,,,,,85.3K,NAF1993,N
262311400,00010,26231140000010,O,1983-03-01,NN,,,2016-11-20T14:05:30,true,4,MAIRIE,5,,RUE,DE LA MAIRIE,23170,LUSSAT,,,23114,,,,,,,,,,,,,,,,,,,2016-01-01,F,CCAS,,,,88.99B,NAFRev2,N
262311418,00012,26231141800012,O,1983-03-01,NN,,,2008-01-04T18:57:01,true,3,MAIRIE,5,,RUE,DE LA MAIRIE,23170,LUSSAT,,,23114,,,,,,,,,,,,,,,,,,,2008-01-01,A,CDE,,,,88.99B,NAFRev2,N
262311509,00018,26231150900018,O,1983-03-01,NN,,,2016-11-20T14:05:30,true,4,MAIRIE,,,,LE BOURG,23260,MAGNAT L'ETRANGE,,,23115,,,,,,,,,,,,,,,,,,,2016-01-01,F,CCAS,,,,88.99B,NAFRev2,N
262311517,00011,26231151700011,O,1983-03-01,NN,,,2010-06-26T03:06:46,true,3,MAIRIE,,,,LE BOURG,23260,MAGNAT L'ETRANGE,,,23115,,,,,,,,,,,,,,,,,,,2008-01-01,A,CDE,,,,88.99B,NAFRev2,N
262311608,00018,26231160800018,O,1983-03-01,21,2019,,2021-10-27T08:12:43,true,4,,1,,RUE,DES AINES,23700,MAINSAT,,,23116,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,87.10A,NAFRev2,O
262311616,00011,26231161600011,O,,NN,,,,true,1,,,,,HOTEL DE VILLE,23700,MAINSAT,,,23116,,,,,,,,,,,,,,,,,,,1993-06-30,F,,,,,85.3K,NAF1993,O
262311624,00015,26231162400015,O,1983-03-01,NN,,,2018-09-19T16:11:44,true,4,MAIRIE,1,,PL,DE LA LIBERTE,23700,MAINSAT,,,23116,,,,,,,,,,,,,,,,,,,2017-01-01,F,CCAS,,,,88.99B,NAFRev2,N
262311707,00018,26231170700018,O,1983-03-01,NN,,,2019-11-14T14:00:24,true,4,MAIRIE,,,,LE BOURG,23800,MAISON-FEYNE,,,23117,,,,,,,,,,,,,,,,,,,2016-12-31,F,CCAS,,,,88.99B,NAFRev2,N
262311715,00011,26231171500011,O,1983-03-01,NN,,,2019-11-14T14:00:24,true,3,MAIRIE,,,,LE BOURG,23800,MAISON-FEYNE,,,23117,,,,,,,,,,,,,,,,,,,2008-01-01,A,CDE,,,,88.99B,NAFRev2,N
262311806,00018,26231180600018,O,1983-03-01,NN,,,2018-08-10T17:02:55,true,4,MAIRIE,12,,RUE,DES ECOLIERS,23150,MAISONNISSES,,,23118,,,,,,,,,,,,,,,,,,,2017-12-31,F,CCAS,,,,88.99B,NAFRev2,N
262311814,00012,26231181400012,O,1983-03-01,NN,,,2010-06-26T03:06:46,true,3,MAIRIE,12,,RUE,DES ECOLIERS,23150,MAISONNISSES,,,23118,,,,,,,,,,,,,,,,,,,2008-01-01,A,CDE,,,,88.99B,NAFRev2,N
262311905,00018,26231190500018,O,1983-03-01,NN,,,2016-11-20T14:05:30,true,4,MAIRIE,,,,LE BOURG,23260,MALLERET,,,23119,,,,,,,,,,,,,,,,,,,2016-01-01,F,CCAS,,,,88.99B,NAFRev2,N
262312002,00013,26231200200013,O,1983-03-01,NN,,,2019-11-14T14:00:24,true,4,MAIRIE,,,,LE BOURG,23600,MALLERET-BOUSSAC,,,23120,,,,,,,,,,,,,,,,,,,2017-12-31,F,CCAS,,,,88.99B,NAFRev2,N
262312010,00016,26231201000016,O,1983-03-01,NN,,,2019-11-14T14:00:24,true,3,MAIRIE,,,,LE BOURG,23600,MALLERET-BOUSSAC,,,23120,,,,,,,,,,,,,,,,,,,2008-01-01,A,CDE,,,,88.99B,NAFRev2,N
262312101,00013,26231210100013,O,1983-03-01,NN,,,2019-01-14T20:44:45,true,4,MAIRIE,,,,LE BOURG,23220,LINARD-MALVAL,,,23109,,,,,,,,,,,,,,,,,,,2016-01-01,F,CCAS,,,,88.99B,NAFRev2,N
