251600920,00010,25160092000010,O,1983-03-01,02,2019,,2021-10-27T08:11:59,true,4,MAIRIE,,,,,16290,MOULIDARS,,,16234,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,84.12Z,NAFRev2,O
251600920,00028,25160092000028,O,1990-12-31,01,2019,,2021-10-27T08:11:59,false,3,MAIRIE,,,,,16290,MOULIDARS,,,16234,,,,,,,,,,,,,,,,,,,2008-01-01,A,REGIE TRANSPORT,,,,49.39A,NAFRev2,N
251600938,00012,25160093800012,O,1983-03-01,NN,,,2019-11-14T14:00:20,true,5,MAIRIE,8,,PL,DU CHAMP DE FOIRE,16440,MOUTHIERS-SUR-BOEME,,,16236,,,,,,,,,,,,,,,,,,,2016-01-01,F,,,,,84.12Z,NAFRev2,O
251600946,00015,25160094600015,O,1983-03-01,NN,,,2019-11-14T14:00:20,true,4,MAIRIE,,,RUE,FAREZE,16700,NANTEUIL-EN-VALLEE,,,16242,,,,,,,,,,,,,,,,,,,2017-01-01,F,,,,,36.00Z,NAFRev2,N
251600953,00011,25160095300011,O,,NN,,,2019-11-14T14:00:20,true,1,,,,RUE,FAREZE,16700,NANTEUIL-EN-VALLEE,,,16242,,,,,,,,,,,,,,,,,,,1991-09-18,F,,,,,87.05,NAP,N
251600961,00014,25160096100014,O,1983-03-01,NN,,,2017-05-04T01:35:24,true,5,,,,,,16190,NONAC,,,16246,,,,,,,,,,,,,,,,,,,2015-12-31,F,,,,,84.12Z,NAFRev2,O
251600979,00016,25160097900016,O,1983-03-01,NN,,,2017-01-03T11:25:44,true,5,MAIRIE,,,,,16190,MONTMOREAU,,,16230,,,,,,,,,,,,,,,,,,,2009-02-28,F,,,,,35.12Z,NAFRev2,N
251600987,00019,25160098700019,O,1983-03-01,NN,,,2018-09-29T12:07:37,true,4,,,,,------,16230,PUYREAUX,,,16272,,,,,,,,,,,,,,,,,,,2017-01-01,F,,,,,36.00Z,NAFRev2,N
251600995,00012,25160099500012,O,1983-03-01,NN,,,,true,1,,,,,------,16230,PUYREAUX,,,16272,,,,,,,,,,,,,,,,,,,1998-04-28,F,,,,,75.1C,NAF1993,O
251601001,00018,25160100100018,O,1983-03-01,NN,,,2007-05-19T08:23:14,true,4,,,,,,16200,HOULETTE,,,16165,,,,,,,,,,,,,,,,,,,2004-11-29,F,,,,,75.1C,NAFRev1,O
251601019,00010,25160101900010,O,1983-03-01,NN,,,2018-09-29T12:07:37,true,5,MAIRIE,,,,,16110,LA ROCHETTE,,,16282,,,,,,,,,,,,,,,,,,,2017-01-01,F,,,,,36.00Z,NAFRev2,O
