200011245,00012,20001124500012,O,2008-01-01,31,2019,,2021-10-27T08:05:25,true,2,,,,RTE,D ARLES,13150,TARASCON,,BP 28,13108,13151,TARASCON CEDEX,,,,,,,,,,,,,,,,,2009-02-01,A,,,,,86.10Z,NAFRev2,O
200011245,00020,20001124500020,O,2008-01-01,12,2019,,2021-10-27T08:05:25,false,2,,,,RTE,D ARLES,13150,TARASCON,,BP 28,13108,13151,TARASCON CEDEX,,,,,,,,,,,,,,,,,2009-02-01,A,SOINS DE LONGUE DUREE,,,,87.10A,NAFRev2,O
200011245,00038,20001124500038,O,2008-01-01,12,2019,,2021-10-27T08:05:25,false,2,,,,BD,MARECHAL FOCH,30300,BEAUCAIRE,,,30032,,,,,,,,,,,,,,,,,,,2009-02-01,A,EHPAD GASTON DOUMERGUE,,,,87.10A,NAFRev2,O
200011245,00046,20001124500046,O,2008-01-01,21,2019,,2021-10-27T08:05:25,false,2,,,,RTE,D ARLES,13150,TARASCON,,BP 28,13108,13151,TARASCON CEDEX,,,,,,,,,,,,,,,,,2009-02-01,A,EHPAD CLERCS DE MOLIERES,,,,87.10A,NAFRev2,O
200011245,00053,20001124500053,O,2008-01-01,21,2019,,2021-10-27T08:05:25,false,2,,,,ALL,DE L OUSTAU,30300,BEAUCAIRE,,,30032,,,,,,,,,,,,,,,,,,,2009-02-01,A,EHPAD L'OUSTAU,,,,87.10A,NAFRev2,O
200011245,00061,20001124500061,O,2008-01-01,NN,,,2017-05-04T01:16:11,false,3,,20,,CRS,GAMBETTA,30300,BEAUCAIRE,,,30032,,,,,,,,,,,,,,,,,,,2015-12-25,F,MAISON RETRAITE ST VINCENT,,,,87.10A,NAFRev2,O
200011245,00079,20001124500079,O,2008-01-01,12,2019,,2021-10-27T08:05:25,false,2,,,,RTE,D ARLES,13150,TARASCON,,BP 28,13108,13151,TARASCON CEDEX,,,,,,,,,,,,,,,,,2009-02-01,A,MAISON D'ACCUEIL SPECIALISEE LE SOLEIL,,,,87.10C,NAFRev2,O
200011245,00087,20001124500087,O,2008-01-01,03,2019,,2021-10-27T08:05:25,false,2,,,,RTE,D ARLES,13150,TARASCON,,BP 28,13108,13151,TARASCON CEDEX,,,,,,,,,,,,,,,,,2009-02-01,A,SSIAD TARASCON,,,,86.90D,NAFRev2,O
200011245,00095,20001124500095,O,2008-01-01,11,2019,,2021-10-27T08:05:25,false,2,,,,BD,MARECHAL FOCH,30300,BEAUCAIRE,,,30032,,,,,,,,,,,,,,,,,,,2009-02-01,A,SSIAD BEAUCAIRE,,,,86.90D,NAFRev2,O
200011245,00103,20001124500103,O,2008-01-01,,,,2016-08-29T16:00:29,false,1,,,,BD,MARECHAL FOCH,30300,BEAUCAIRE,,,30032,,,,,,,,,,,,,,,,,,,2008-01-01,A,ETS DE SOINS DE SUITE ET DE READAPTATION,,,,86.10Z,NAFRev2,N
200011252,00018,20001125200018,O,2007-11-05,02,2019,,2021-10-27T08:05:25,true,3,MAIRIE,,,,LE BOURG,40660,MESSANGES,,,40181,,,,,,,,,,,,,,,,,,,2008-02-05,A,,,,,84.11Z,NAFRev2,O
200011260,00011,20001126000011,O,2007-10-24,,,,2016-01-12T00:10:22,true,2,MAIRIE,,,,LE BOURG,63660,LA CHAULME,,,63104,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,02.20Z,NAFRev2,N
