130015167,00104,13001516700104,O,2013-02-07,,,,2021-02-23T10:28:22,false,1,,8,,RUE,DUQUESNE,29200,BREST,,,29019,,,,,,,,,,,,,,,,,,,2013-02-07,A,CENTRE INFORMATIQUE DEPARTEMENTAL,,,,84.11Z,NAFRev2,N
130015167,00112,13001516700112,O,2013-02-07,,,,2017-04-21T15:40:39,false,2,,13,,AV,SAINT SYMPHORIEN,56000,VANNES,,,56260,,,,,,,,,,,,,,,,,,,2017-04-21,F,CENTRE INFORMATIQUE DEPARTEMENTAL,,,,84.11Z,NAFRev2,N
130015167,00120,13001516700120,O,2014-10-03,31,2019,,2021-10-27T08:04:00,false,2,,32,,RUE,DE COULONGE,44300,NANTES,,,44109,,,,,,,,,,,,,,,,,,,2017-10-01,A,ESI NANTES,,,,84.11Z,NAFRev2,N
130015167,00138,13001516700138,O,2017-04-21,,,,2017-04-21T15:36:41,false,1,,36,,RUE,DES REGUAIRES,29000,QUIMPER,,,29232,29328,QUIMPER CEDEX,,,,,,,,,,,,,,,,,2017-04-21,A,CENTRE INFORMATIQUE DEPARTEMENTAL,,,,84.11Z,NAFRev2,N
130015167,00146,13001516700146,O,2017-04-21,,,,2017-04-21T15:40:39,false,1,,35,,BD,DE LA PAIX,56000,VANNES,,,56260,56019,VANNES CEDEX,,,,,,,,,,,,,,,,,2017-04-21,A,CENTRE INFORMATIQUE DEPARTEMENTAL,,,,84.11Z,NAFRev2,N
130015167,00153,13001516700153,O,2019-09-01,,,,2019-10-03T14:18:40,false,1,,6,,AV,DE CONCYR,45100,ORLEANS,,CS 30013,45234,45071,ORLEANS CEDEX 2,,,,,,,,,,,,,,,,,2019-09-01,A,ESI ORLEANS,,,,84.11Z,NAFRev2,N
130015175,00016,13001517500016,O,2011-09-01,22,2019,,2021-10-27T08:04:00,true,1,,83,,RUE,MEUREIN,59800,LILLE,,BP 3,59350,59891,LILLE CEDEX 9,,,,,,,,,,,,,,,,,2011-09-01,A,,,,,84.11Z,NAFRev2,N
130015175,00024,13001517500024,O,2011-09-01,12,2019,,2021-10-27T08:04:00,false,3,,16,,RUE,DU GRAND VIDAME,80000,AMIENS,,BP 1011,80021,80010,AMIENS CEDEX 1,,,,,,,,,,,,,,,,,2018-08-01,A,ESI AMIENS,,,,84.11Z,NAFRev2,O
130015175,00032,13001517500032,O,2011-09-01,12,2019,,2021-10-27T08:04:00,false,2,,82,,AV,DU PRESIDENT KENNEDY,59800,LILLE,,BP 70689,59350,59033,LILLE CEDEX,,,,,,,,,,,,,,,,,2017-10-02,A,ESI LILLE,,,,84.11Z,NAFRev2,N
130015175,00040,13001517500040,O,2011-09-01,00,2019,,2021-10-27T08:04:00,false,3,,45,,RUE,DU FIEF,80080,AMIENS,,BP 48818,80021,80088,AMIENS CEDEX 2,,,,,,,,,,,,,,,,,2019-10-03,F,ESI AMIENS FIEF,,,,84.11Z,NAFRev2,O
130015175,00057,13001517500057,O,2011-09-01,NN,,,2019-11-06T11:32:07,false,2,,83,,RUE,MEUREIN,59800,LILLE,,BP 3,59350,59891,LILLE CEDEX 9,,,,,,,,,,,,,,,,,2019-10-03,F,ESI LILLE MEUREIN,,,,84.11Z,NAFRev2,N
130015175,00065,13001517500065,O,2019-09-01,,,,2019-11-14T14:00:19,false,1,,12,,AV,DE TSUKUBA,14200,HEROUVILLE-SAINT-CLAIR,,,14327,,,,,,,,,,,,,,,,,,,2019-09-01,A,ESI CAEN,,,,84.11Z,NAFRev2,N
130015175,00073,13001517500073,O,2019-09-01,,,,2019-10-03T13:57:24,false,1,,4,,RUE,DES MOUETTES,76130,MONT-SAINT-AIGNAN,,,76451,76132,MONT-SAINT-AIGNAN CEDEX,,,,,,,,,,,,,,,,,2019-09-01,A,ESI ROUEN,,,,84.11Z,NAFRev2,N
