255600504,00013,25560050400013,O,1983-03-01,NN,,,2019-06-24T13:13:37,false,4,,32,,AV,DU GENERAL DE GAULLE,56390,GRAND-CHAMP,,,56067,,,,,,,,,,,,,,,,,,,2017-12-05,F,,,,,36.00Z,NAFRev2,N
255600504,00021,25560050400021,O,2017-12-05,00,2019,,2021-10-27T08:12:16,true,2,GOLFE DU MORBIHAN VANNES AGGLOMERATION,30,,RUE,ALFRED KASTLER,56000,VANNES,,CS 70206,56260,,,,,,,,,,,,,,,,,,,2019-12-31,F,,,,,36.00Z,NAFRev2,O
255600512,00016,25560051200016,O,,NN,,,2019-11-14T14:00:45,true,1,,,,,BOURG,56920,NOYAL-PONTIVY,,,56151,,,,,,,,,,,,,,,,,,,1987-09-28,F,,,,,08.01,NAP,N
255600520,00019,25560052000019,O,1983-03-01,NN,,,2013-05-18T02:19:46,true,4,MAIRIE,,,RUE,NATIONALE,56460,VAL D'OUST,,,56197,,,,,,,,,,,,,,,,,,,2012-01-01,F,,,,,36.00Z,NAFRev2,N
255600538,00011,25560053800011,O,1983-03-01,NN,,,2016-01-13T17:14:45,true,4,MAIRIE,8,,RUE,DE LA MAIRIE,56500,EVELLYS,,,56144,,,,,,,,,,,,,,,,,,,2012-01-01,F,,,,,36.00Z,NAFRev2,N
255600546,00014,25560054600014,O,1983-03-01,NN,,,2015-05-14T03:47:16,true,5,,,,PL,DE LA CHAPELLE,56340,CARNAC,,,56034,,,,,,,,,,,,,,,,,,,2013-12-31,F,,,,,36.00Z,NAFRev2,O
255600553,00010,25560055300010,O,1983-03-01,NN,,,2007-05-19T08:24:16,true,3,,9,,RUE,DE L'ELLE,56770,PLOURAY,,,56170,,,,,,,,,,,,,,,,,,,2005-12-30,F,,,,,41.0Z,NAFRev1,N
255600561,00013,25560056100013,O,,NN,,,,true,1,,,,PL,DE LA MAIRIE,56800,PLOERMEL,,,56165,,,,,,,,,,,,,,,,,,,1992-02-06,F,,,,,75.1A,NAF1993,N
255600579,00015,25560057900015,O,1983-03-01,NN,,,2007-05-19T08:24:16,true,3,,,,PL,NICOMEDE,56380,MONTENEUF,,,56136,,,,,,,,,,,,,,,,,,,2006-10-17,F,,,,,41.0Z,NAFRev1,N
255600587,00018,25560058700018,O,1983-03-01,NN,,,2013-05-18T02:19:46,true,4,MAIRIE,,,RUE,DU GENERAL DE KERHUE,56460,SERENT,,,56244,,,,,,,,,,,,,,,,,,,2012-01-01,F,,,,,36.00Z,NAFRev2,N
255600603,00013,25560060300013,O,1983-03-01,NN,,,2015-05-14T03:47:16,true,4,,,,PL,DE LA MAIRIE,56800,PLOERMEL,,,56165,,,,,,,,,,,,,,,,,,,2013-12-31,F,,,,,36.00Z,NAFRev2,N
